"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-3.82714003e-01,1.22004282e-03,0.00000000e+00,5.00000000e-01,1.64000005e-01,0.00000000e+00
-3.83155674e-01,1.32049399e-03,0.00000000e+00,5.00000000e-01,1.65000007e-01,0.00000000e+00
-3.83298665e-01,1.42386486e-03,0.00000000e+00,5.00000000e-01,1.65999994e-01,0.00000000e+00
-3.83408934e-01,1.52755692e-03,0.00000000e+00,5.00000000e-01,1.66999996e-01,0.00000000e+00
-3.83519232e-01,1.63124886e-03,0.00000000e+00,5.00000000e-01,1.67999998e-01,0.00000000e+00
-3.83629501e-01,1.73494092e-03,0.00000000e+00,5.00000000e-01,1.69000000e-01,0.00000000e+00
-3.83739799e-01,1.83863298e-03,0.00000000e+00,5.00000000e-01,1.70000002e-01,0.00000000e+00
-3.83850068e-01,1.94232503e-03,0.00000000e+00,5.00000000e-01,1.71000004e-01,0.00000000e+00
-3.83960366e-01,2.04601698e-03,0.00000000e+00,5.00000000e-01,1.72000006e-01,0.00000000e+00
-3.84070635e-01,2.14970764e-03,0.00000000e+00,5.00000000e-01,1.72999993e-01,0.00000000e+00
-3.84180933e-01,2.25339946e-03,0.00000000e+00,5.00000000e-01,1.73999995e-01,0.00000000e+00
-3.84113461e-01,2.35647522e-03,0.00000000e+00,5.00000000e-01,1.74999997e-01,0.00000000e+00
-3.83904845e-01,2.45906110e-03,0.00000000e+00,5.00000000e-01,1.75999999e-01,0.00000000e+00
-3.83696228e-01,2.56164698e-03,0.00000000e+00,5.00000000e-01,1.77000001e-01,0.00000000e+00
-3.83487612e-01,2.66423309e-03,0.00000000e+00,5.00000000e-01,1.78000003e-01,0.00000000e+00
-3.83278996e-01,2.76681897e-03,0.00000000e+00,5.00000000e-01,1.79000005e-01,0.00000000e+00
-3.83070379e-01,2.86940509e-03,0.00000000e+00,5.00000000e-01,1.80000007e-01,0.00000000e+00
-3.82861763e-01,2.97198957e-03,0.00000000e+00,5.00000000e-01,1.80999994e-01,0.00000000e+00
-3.82653147e-01,3.07457545e-03,0.00000000e+00,5.00000000e-01,1.81999996e-01,0.00000000e+00
-3.82444531e-01,3.17716133e-03,0.00000000e+00,5.00000000e-01,1.82999998e-01,0.00000000e+00
-3.82235914e-01,3.27974744e-03,0.00000000e+00,5.00000000e-01,1.84000000e-01,0.00000000e+00
-3.81750673e-01,3.37748718e-03,0.00000000e+00,5.00000000e-01,1.85000002e-01,0.00000000e+00
-3.81249368e-01,3.47494637e-03,0.00000000e+00,5.00000000e-01,1.86000004e-01,0.00000000e+00
-3.80748063e-01,3.57240532e-03,0.00000000e+00,5.00000000e-01,1.87000006e-01,0.00000000e+00
-3.80246788e-01,3.66986287e-03,0.00000000e+00,5.00000000e-01,1.87999994e-01,0.00000000e+00
-3.79745483e-01,3.76732205e-03,0.00000000e+00,5.00000000e-01,1.88999996e-01,0.00000000e+00
-3.79244208e-01,3.86478100e-03,0.00000000e+00,5.00000000e-01,1.89999998e-01,0.00000000e+00
-3.78742903e-01,3.96224018e-03,0.00000000e+00,5.00000000e-01,1.91000000e-01,0.00000000e+00
-3.78241628e-01,4.05969936e-03,0.00000000e+00,5.00000000e-01,1.92000002e-01,0.00000000e+00
-3.77740324e-01,4.15715808e-03,0.00000000e+00,5.00000000e-01,1.93000004e-01,0.00000000e+00
-3.77224475e-01,4.25413391e-03,0.00000000e+00,5.00000000e-01,1.94000006e-01,0.00000000e+00
-3.76469135e-01,4.34315111e-03,0.00000000e+00,5.00000000e-01,1.94999993e-01,0.00000000e+00
-3.75713795e-01,4.43216925e-03,0.00000000e+00,5.00000000e-01,1.95999995e-01,0.00000000e+00
-3.74958426e-01,4.52118786e-03,0.00000000e+00,5.00000000e-01,1.96999997e-01,0.00000000e+00
-3.74203056e-01,4.61020600e-03,0.00000000e+00,5.00000000e-01,1.97999999e-01,0.00000000e+00
-3.73447716e-01,4.69922461e-03,0.00000000e+00,5.00000000e-01,1.99000001e-01,0.00000000e+00
-3.72692347e-01,4.78824275e-03,0.00000000e+00,5.00000000e-01,2.00000003e-01,0.00000000e+00
-3.71937007e-01,4.87726135e-03,0.00000000e+00,5.00000000e-01,2.01000005e-01,0.00000000e+00
-3.71181637e-01,4.96627996e-03,0.00000000e+00,5.00000000e-01,2.02000007e-01,0.00000000e+00
-3.70426297e-01,5.05529670e-03,0.00000000e+00,5.00000000e-01,2.02999994e-01,0.00000000e+00
-3.69670957e-01,5.14431531e-03,0.00000000e+00,5.00000000e-01,2.03999996e-01,0.00000000e+00
-3.68733168e-01,5.22386050e-03,0.00000000e+00,5.00000000e-01,2.04999998e-01,0.00000000e+00
-3.67771804e-01,5.30218193e-03,0.00000000e+00,5.00000000e-01,2.06000000e-01,0.00000000e+00
-3.66810441e-01,5.38050337e-03,0.00000000e+00,5.00000000e-01,2.07000002e-01,0.00000000e+00
-3.65849078e-01,5.45882434e-03,0.00000000e+00,5.00000000e-01,2.08000004e-01,0.00000000e+00
-3.64887744e-01,5.53714577e-03,0.00000000e+00,5.00000000e-01,2.09000006e-01,0.00000000e+00
-3.63926381e-01,5.61546581e-03,0.00000000e+00,5.00000000e-01,2.09999993e-01,0.00000000e+00
-3.62965018e-01,5.69378678e-03,0.00000000e+00,5.00000000e-01,2.10999995e-01,0.00000000e+00
-3.62003684e-01,5.77210821e-03,0.00000000e+00,5.00000000e-01,2.11999997e-01,0.00000000e+00
-3.61042321e-01,5.85042965e-03,0.00000000e+00,5.00000000e-01,2.13000000e-01,0.00000000e+00
-3.60080957e-01,5.92875062e-03,0.00000000e+00,5.00000000e-01,2.14000002e-01,0.00000000e+00
-3.59055221e-01,6.00215560e-03,0.00000000e+00,5.00000000e-01,2.15000004e-01,0.00000000e+00
-3.57941300e-01,6.06882526e-03,0.00000000e+00,5.00000000e-01,2.16000006e-01,0.00000000e+00
-3.56827408e-01,6.13549445e-03,0.00000000e+00,5.00000000e-01,2.16999993e-01,0.00000000e+00
-3.55713487e-01,6.20216457e-03,0.00000000e+00,5.00000000e-01,2.17999995e-01,0.00000000e+00
-3.54599565e-01,6.26883470e-03,0.00000000e+00,5.00000000e-01,2.18999997e-01,0.00000000e+00
-3.53485644e-01,6.33550482e-03,0.00000000e+00,5.00000000e-01,2.19999999e-01,0.00000000e+00
-3.52371752e-01,6.40217448e-03,0.00000000e+00,5.00000000e-01,2.21000001e-01,0.00000000e+00
-3.51257831e-01,6.46884460e-03,0.00000000e+00,5.00000000e-01,2.22000003e-01,0.00000000e+00
-3.50143909e-01,6.53551472e-03,0.00000000e+00,5.00000000e-01,2.23000005e-01,0.00000000e+00
-3.49029988e-01,6.60218485e-03,0.00000000e+00,5.00000000e-01,2.24000007e-01,0.00000000e+00
-3.47916096e-01,6.66885357e-03,0.00000000e+00,5.00000000e-01,2.24999994e-01,0.00000000e+00
-3.46737325e-01,6.72814110e-03,0.00000000e+00,5.00000000e-01,2.25999996e-01,0.00000000e+00
-3.45524848e-01,6.78359298e-03,0.00000000e+00,5.00000000e-01,2.26999998e-01,0.00000000e+00
-3.44312400e-01,6.83904486e-03,0.00000000e+00,5.00000000e-01,2.28000000e-01,0.00000000e+00
-3.43099922e-01,6.89449674e-03,0.00000000e+00,5.00000000e-01,2.29000002e-01,0.00000000e+00
-3.41887474e-01,6.94994861e-03,0.00000000e+00,5.00000000e-01,2.30000004e-01,0.00000000e+00
-3.40674996e-01,7.00540049e-03,0.00000000e+00,5.00000000e-01,2.31000006e-01,0.00000000e+00
-3.39462548e-01,7.06085144e-03,0.00000000e+00,5.00000000e-01,2.31999993e-01,0.00000000e+00
-3.38250071e-01,7.11630331e-03,0.00000000e+00,5.00000000e-01,2.32999995e-01,0.00000000e+00
-3.37037623e-01,7.17175519e-03,0.00000000e+00,5.00000000e-01,2.33999997e-01,0.00000000e+00
-3.35825145e-01,7.22720707e-03,0.00000000e+00,5.00000000e-01,2.34999999e-01,0.00000000e+00
-3.34612697e-01,7.28265941e-03,0.00000000e+00,5.00000000e-01,2.36000001e-01,0.00000000e+00
-3.33371729e-01,7.33254291e-03,0.00000000e+00,5.00000000e-01,2.37000003e-01,0.00000000e+00
