TimeStep,Time,"U:0","U:1","U:2","Points:0","Points:1","Points:2"
100,1.00000000e+02,-7.63319433e-02,-1.09616682e-01,0.00000000e+00,6.25000000e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-7.70114735e-02,-1.15177818e-01,0.00000000e+00,6.29999995e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-7.76940659e-02,-1.20748609e-01,0.00000000e+00,6.34999990e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-7.83861950e-02,-1.26349568e-01,0.00000000e+00,6.39999986e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-7.90783167e-02,-1.31950542e-01,0.00000000e+00,6.44999981e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-7.97724575e-02,-1.37562647e-01,0.00000000e+00,6.49999976e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-8.04712027e-02,-1.43200323e-01,0.00000000e+00,6.54999971e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-8.11699554e-02,-1.48838058e-01,0.00000000e+00,6.60000026e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-8.18687379e-02,-1.54489368e-01,0.00000000e+00,6.65000021e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-8.25675577e-02,-1.60157561e-01,0.00000000e+00,6.70000017e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-8.32663849e-02,-1.65825754e-01,0.00000000e+00,6.75000012e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-8.39607567e-02,-1.71508923e-01,0.00000000e+00,6.80000007e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-8.46529454e-02,-1.77199453e-01,0.00000000e+00,6.85000002e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-8.53451267e-02,-1.82889998e-01,0.00000000e+00,6.89999998e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-8.60248655e-02,-1.88592866e-01,0.00000000e+00,6.94999993e-01,5.00000000e-01,0.00000000e+00
100,1.00000000e+02,-8.67042243e-02,-1.94296107e-01,0.00000000e+00,6.99999988e-01,5.00000000e-01,0.00000000e+00
