"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-2.75128223e-02,3.72478426e-01,0.00000000e+00,1.55000001e-01,5.00000000e-01,0.00000000e+00
-2.77248360e-02,3.72631162e-01,0.00000000e+00,1.56000003e-01,5.00000000e-01,0.00000000e+00
-2.79209428e-02,3.72595370e-01,0.00000000e+00,1.57000005e-01,5.00000000e-01,0.00000000e+00
-2.81168018e-02,3.72556627e-01,0.00000000e+00,1.58000007e-01,5.00000000e-01,0.00000000e+00
-2.83126570e-02,3.72517914e-01,0.00000000e+00,1.58999994e-01,5.00000000e-01,0.00000000e+00
-2.85085160e-02,3.72479200e-01,0.00000000e+00,1.59999996e-01,5.00000000e-01,0.00000000e+00
-2.87043750e-02,3.72440457e-01,0.00000000e+00,1.60999998e-01,5.00000000e-01,0.00000000e+00
-2.89002340e-02,3.72401744e-01,0.00000000e+00,1.62000000e-01,5.00000000e-01,0.00000000e+00
-2.90960930e-02,3.72363031e-01,0.00000000e+00,1.63000003e-01,5.00000000e-01,0.00000000e+00
-2.92919520e-02,3.72324288e-01,0.00000000e+00,1.64000005e-01,5.00000000e-01,0.00000000e+00
-2.94878092e-02,3.72285575e-01,0.00000000e+00,1.65000007e-01,5.00000000e-01,0.00000000e+00
-2.96690520e-02,3.72075379e-01,0.00000000e+00,1.65999994e-01,5.00000000e-01,0.00000000e+00
-2.98486967e-02,3.71846408e-01,0.00000000e+00,1.66999996e-01,5.00000000e-01,0.00000000e+00
-3.00283413e-02,3.71617436e-01,0.00000000e+00,1.67999998e-01,5.00000000e-01,0.00000000e+00
-3.02079860e-02,3.71388465e-01,0.00000000e+00,1.69000000e-01,5.00000000e-01,0.00000000e+00
-3.03876307e-02,3.71159494e-01,0.00000000e+00,1.70000002e-01,5.00000000e-01,0.00000000e+00
-3.05672754e-02,3.70930523e-01,0.00000000e+00,1.71000004e-01,5.00000000e-01,0.00000000e+00
-3.07469200e-02,3.70701551e-01,0.00000000e+00,1.72000006e-01,5.00000000e-01,0.00000000e+00
-3.09265628e-02,3.70472580e-01,0.00000000e+00,1.72999993e-01,5.00000000e-01,0.00000000e+00
